Player,Team within selected timeframe,Position,Age,Contract expires,Minutes played,Passport country,Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Successful attacking actions per 90,Goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %","Save rate, %",xG against per 90,Prevented goals,Prevented goals per 90,Exits per 90
W. Saliba,Arsenal,RCB,23,2027-06-30,3860,"France, Cameroon",right,192,6.48,4.08,73.71,3.47,53.02,0.24,0.35,3.31,4.9,0.26,0.05,0.02,0.19,37.5,25,0.09,25,0.3,53.85,1.96,39.29,0.35,0.75,0.14,48.36,0.35,63.47,94.67,21.03,89.14,60.62,96.23,2.75,62.71,17.39,0.01,0.07,0.02,0.07,6.06,83.85,0.4,47.06,0.19,37.5,0.21,5.74,73.98,0,0,,,
Gabriel Martinelli,Arsenal,"LWF, LW",23,2027-06-30,2234,"Brazil, Italy",right,178,4.71,4.87,60.33,1.81,31.11,0,0.04,1.77,2.84,6.65,0.24,0.27,2.38,38.98,10.169,4.31,37.38,7.17,56.18,13.33,39.88,7.25,4.23,1.17,28.72,0.97,34.57,84.38,3.71,75,28.97,91.93,1.37,70.59,17.26,0.21,1.65,0.24,1.01,1.33,78.79,2.94,60.27,0.28,14.29,1.85,3.3,86.59,0,0,,,
L. Trossard,Arsenal,"LWF, CF, LW",29,2026-06-30,1868,Belgium,right,172,5.73,4.67,58.76,0.92,21.05,0.07,0.1,2.94,4.55,4.14,0.58,0.41,2.7,37.5,21.429,2.07,41.86,3.18,60.61,8.91,36.76,5.25,3.04,1.2,25.39,0.92,30.5,80.09,5.64,64.1,26.55,85.12,1.93,52.5,17.31,0.15,1.01,0.82,0.43,2.51,69.23,3.04,60.32,1.16,29.17,1.69,5.01,75.96,0,0,,,
Jorginho,Arsenal,"DMF, LCMF, RCMF",32,2025-06-30,1075,"Brazil, Italy",right,178,8.54,6.78,75.31,1.67,20,0.94,0.08,2.76,3.88,0.59,0,0,0.33,0,0,0.25,100,0.33,0,2.43,51.72,0.42,0.84,0,51.15,1.26,62.71,91.32,19.76,82.63,56.34,93.16,6.11,73.97,15.82,0.1,0.67,0.84,0.17,10.3,83.74,3.35,67.5,1.34,50,1.84,9.13,85.32,0,0,,,
T. Partey,Arsenal,"DMF, RB, RCMF",31,2025-06-30,888,Ghana,right,185,7.7,5.07,66,1.42,42.86,0.45,0.2,4.05,5.94,1.32,0,0.05,0.81,25,0,0.3,100,1.01,60,3.04,56.67,0.61,1.42,0.61,47.23,0.61,60.81,90.83,16.72,78.79,56.55,93.01,3.95,58.97,18.14,0.03,0.51,0.51,0,10.84,84.11,1.93,63.16,1.22,33.33,0.91,7.5,81.08,0,0,,,
O. Zinchenko,Arsenal,LB,27,2026-06-30,1936,Ukraine,left,175,7.25,5.9,62.99,2.05,56.82,0.21,0.09,3.39,5.19,1.81,0.05,0.03,0.84,16.67,5.556,2,30.23,1.02,50,2.6,42.86,1.35,1.3,0.37,51.65,0.42,64.06,88.75,21.24,81.84,57.92,93.1,4.18,56.67,17.76,0.1,0.88,1.02,0.33,10.18,81.28,4.23,53.85,1.49,37.5,1.63,10.37,81.17,0,0,,,
David Raya,Arsenal,GK,29,2025-06-30,3242,Spain,right,183,1.67,0.11,75,0.25,77.78,0.04,0,1.55,2.23,0.03,0,0,0,0,0,0,0,0.03,100,0.06,100,0,0,0,15.27,0.08,22.74,87.3,12.8,80.04,15.66,98.05,7,64.29,29.06,0,0,0,0,2.44,59.09,0.08,33.33,0.17,66.67,0.03,5.58,75.62,69.23,0.67,0.22,0.006,1.47
M. Ødegaard,Arsenal,RCMF,25,2028-06-30,3422,Norway,left,178,4.52,4.79,54.95,0.37,21.43,0.54,0.03,1.53,2.24,3.73,0.21,0.17,1.95,32.43,10.811,1.24,48.94,3.08,52.14,7.71,40.27,3.81,1.5,0.55,39.58,0.95,49.55,87.79,15.81,80.03,46.74,89.81,1.58,58.33,15.85,0.22,2.08,1.89,1,5.37,82.35,5.44,67.15,1.95,41.89,3.79,6.39,86.42,0,0,,,
Gabriel Jesus,Arsenal,"CF, LWF",27,2027-06-30,1660,Brazil,right,175,7.16,4.93,65.93,3.63,25.37,0.16,0,3.8,5.66,4.72,0.22,0.41,2.66,34.69,8.163,1.19,22.73,4.83,64.04,13.28,40,6.72,2.06,0.65,19.36,1.73,26.73,80.32,4.39,65.43,24.89,83.88,0.7,46.15,14.3,0.15,1.36,0.81,0.65,1.08,80,2.33,53.49,0.7,46.15,2.28,1.84,76.47,0,0,,,
E. Nketiah,Arsenal,CF,25,2029-06-30,1263,"England, Ghana",right,180,3.92,3.85,53.7,3.78,33.96,0.22,0.14,1.71,2.68,2.42,0.36,0.41,2.28,37.5,15.625,0.57,12.5,2.92,48.78,9.48,33.83,4.63,1,0.5,10.48,2,13.9,79.49,2.35,69.7,13.25,82.26,0.07,100,13.97,0.02,0.36,0.36,0.21,0.64,88.89,0.93,53.85,0.21,33.33,0.64,0.93,53.85,0,0,,,
D. Rice,Arsenal,"DMF, LCMF",25,2028-06-30,3601,"England, Republic of Ireland",right,185,7.15,4.77,66.49,2.4,47.92,0.7,0.22,3.5,5.14,1.75,0.17,0.1,1.37,36.36,12.727,0.55,27.27,1.65,57.58,3.87,41.94,1.4,1.77,0.85,42.34,0.3,53.71,91.86,14.62,82.91,49.96,94.65,3.22,58.91,17.31,0.12,0.87,0.2,0.22,7.32,85.32,1.35,74.07,0.42,23.53,1.1,5.75,79.57,0,0,,,
T. Tomiyasu,Arsenal,"LB, RB",25,2026-06-30,1330,Japan,right,188,6.09,5.55,51.22,4.06,51.67,0,0.14,3.25,5.02,1.35,0.14,0.11,1.02,20,13.333,1.02,60,1.08,37.5,2.64,30.77,1.76,1.02,0.41,31.47,0.47,40.2,89.73,12.72,82.45,36.95,92.12,2.3,64.71,16.61,0.04,0.34,0.27,0.27,5.48,81.48,1.42,66.67,0.47,28.57,0.88,4.26,76.19,0,0,,,
Gabriel Magalhaes,Arsenal,LCB,26,2027-06-30,3437,Brazil,left,190,7.46,4.22,67.7,4.22,53.42,0.19,0.79,4.48,6.38,0.42,0.08,0.1,0.6,39.13,13.043,0.1,25,0.24,66.67,1.54,45.76,0.79,0.55,0.03,41.09,0.92,51.95,91.68,17.15,82.6,47.76,95.07,4.08,53.85,18.91,0.01,0.08,0,0.05,6.23,79.83,0.42,50,0.42,37.5,0.16,6.39,72.95,0,0,,,
K. Havertz,Arsenal,"LCMF, CF",25,2028-06-30,2943,Germany,left,193,5.17,4.25,58.99,6.82,41.26,0.27,0.06,2.48,3.59,1.99,0.4,0.34,1.87,44.26,21.311,0.76,28,1.62,52.83,5.54,43.09,4.77,1.25,0.67,19.91,1.35,26.61,86.44,5.75,76.06,25.26,88.86,0.58,57.89,13.32,0.15,0.86,0.24,0.58,2.48,80.25,1.16,68.42,0.15,60,1.44,2.08,77.94,0,0,,,
B. White,Arsenal,RB,26,2028-06-30,3347,England,right,185,7.45,5.86,55.5,1.86,55.07,0.27,0.51,4.01,5.79,1.26,0.11,0.05,0.32,50,33.333,1.88,31.43,0.54,55,1.8,37.31,1.67,0.81,0.24,42.27,0.32,51.06,87.89,18.93,80.68,46.09,92.82,3.12,49.14,17.46,0.1,0.75,0.35,0.38,6.99,80.77,2.53,61.7,0.59,45.45,1.13,7.96,84.46,0,0,,,
J. Kiwior,Arsenal,"LB, LCB",24,2028-06-30,1092,Poland,left,189,7.91,6.26,64.47,2.39,48.28,0.25,0.33,3.71,5.72,0.82,0.08,0.05,0.33,50,25,1.07,38.46,0.41,60,1.32,31.25,1.15,0.16,0.08,35.52,0.25,45.16,87.96,17.39,80.57,41.21,91.4,2.97,55.56,15.95,0.02,0.16,0.25,0.25,4.95,76.67,1.65,40,0.66,12.5,0.41,6.76,74.39,0,0,,,
B. Saka,Arsenal,"RWF, RW",23,2027-06-30,3217,"England, Nigeria",left,178,5.68,5.18,62.16,1.96,34.29,0.04,0.03,2.43,3.68,5.99,0.45,0.48,2.99,35.51,14.953,3.25,31.03,5.99,62.62,12.45,51.46,7.16,3.97,0.53,29.74,1.93,38.1,81.64,6.8,67.9,33.32,88.25,1.62,43.1,16.02,0.29,2.29,0.39,0.7,1.68,76.67,3.08,66.36,0.39,42.86,2.46,4.48,73.75,0,0,,,
M. Rogers,Aston Villa,"LW, AMF",22,2029-06-30,714,England,right,185,5.55,6.55,50,2.52,25,0,0,2.27,2.9,4.16,0.38,0.13,1.51,50,25,0.63,0,5.04,60,9.58,44.74,2.14,2.02,1.13,16.51,1.13,23.57,78.61,6.68,67.92,22.44,80.34,0.5,100,16.57,0.09,0.88,1.13,0.63,2.52,80,1.64,92.31,1.01,25,1.51,3.53,67.86,0,0,,,
Álex Moreno,Aston Villa,LB,31,2026-06-30,1221,Spain,left,179,8.48,5.31,58.33,1.4,26.32,0.13,0.15,5.31,9,2.73,0.15,0.1,0.44,66.67,33.333,3.1,21.43,3.39,52.17,6.78,51.09,2.36,1.62,0.59,23.44,1.25,31.92,78.75,7.44,67.33,27.27,86.76,1.7,47.83,19.24,0.15,0.74,0.07,0.59,1.03,57.14,1.92,53.85,0.15,0,0.74,4.79,52.31,0,0,,,
Diego Carlos,Aston Villa,RCB,31,2026-06-30,2108,"Brazil, Spain",right,185,6.02,3.16,58.11,2.9,44.12,0.3,0.68,3.97,5.58,0.04,0,0.07,0.26,0,0,0.04,0,0.17,25,0.94,22.73,0.64,0.17,0,41.58,0.21,54.01,90.2,19.85,78.06,47.86,95.18,6.11,51.75,21.24,0,0,0,0,6.36,68.46,0.64,40,1.02,29.17,0.34,8.2,75,0,0,,,
J. Durán,Aston Villa,CF,20,2028-06-30,659,Colombia,left,185,3.96,3,50,5.05,48.65,0.62,0,2.05,3.08,2.19,0.68,0.26,2.59,36.84,26.316,1.09,12.5,1.78,53.85,7.37,27.78,3,1.09,0.14,11.06,0.96,13.79,69.31,2.87,66.67,11.88,75.86,0.96,57.14,17.94,0.02,0.27,0.41,0.14,1.5,54.55,0.68,20,0.41,33.33,0.55,0.96,85.71,0,0,,,
E. Martínez,Aston Villa,GK,32,2029-06-30,3469,"Argentina, Spain",right,195,2.21,0.05,50,0.18,85.71,0,0,2.18,3.27,0,0,0,0,0,0,0,0,0.03,0,0.13,80,0,0,0,19.64,0.18,27.89,90.51,10.74,77.54,21.4,98.67,6.49,63.6,26.27,0,0,0,0,1.89,58.9,0.1,0,0.47,16.67,0,4.88,71.28,68,1.25,0.27,0.007,1.17
L. Digne,Aston Villa,LB,31,2026-06-30,2733,France,left,178,7.24,5.47,56.02,2.47,60,0.49,0.07,3.82,5.21,2.44,0.03,0.04,0.63,21.05,5.263,4.48,33.82,1.38,54.76,3.1,52.13,1.68,0.99,0.26,26.38,0.86,35.4,78.79,9.62,73.29,28.49,87.51,2.57,60.26,17.9,0.16,1.09,0.03,0.59,2.04,75.81,3.52,45.79,0.16,20,0.72,6.29,67.54,0,0,,,
C. Lenglet,Aston Villa,"LCB, RCB",29,2026-06-30,1306,France,left,186,6.68,4.2,68.85,2.62,47.37,0.1,0.69,3.72,5.61,0.55,0,0.07,0.34,40,0,0.14,0,0.62,55.56,2.07,46.67,0.55,1.86,0.07,46.31,0.83,57.96,92.51,19.09,84.48,50.93,96.08,6.89,68,20.86,0.03,0.07,0.14,0.07,4.96,69.44,0.55,37.5,0.9,38.46,0.41,8.2,80.67,0,0,,,
J. McGinn,Aston Villa,"LW, RCMF, RW",30,2027-06-30,3374,Scotland,left,178,5.63,5.44,54.41,0.93,25.71,0.47,0.11,2.35,3.42,3.09,0.16,0.13,1.07,35,15,1.31,61.22,3.17,55.46,11.02,43.1,1.49,1.17,0.67,20.57,1.81,29.88,83.3,9.1,71.26,25.5,87.66,3.12,57.26,19.83,0.12,1.01,0.56,0.53,5.15,76.68,2.75,59.22,1.2,35.56,0.96,5.39,83.17,0,0,,,
Y. Tielemans,Aston Villa,"RCMF, CF, AMF",27,2027-06-30,1867,"Belgium, Congo DR",right,176,6.65,5.93,56.91,1.16,58.33,0.56,0.14,2.89,4.24,2.27,0.1,0.06,0.72,46.67,13.333,0.77,12.5,2.02,64.29,5.88,42.62,1.3,0.58,0.14,30.22,1.25,41.6,87.37,13.26,76,38.13,91.4,2.7,51.79,17.71,0.08,0.43,1.01,0.48,7.18,77.18,2.12,61.36,1.49,35.48,1.21,6.36,87.12,0,0,,,
O. Watkins,Aston Villa,CF,28,2028-06-30,3650,England,right,180,2.29,2.02,48.78,3.48,36.88,0.07,0.07,1.26,1.87,2.84,0.47,0.45,2.34,47.37,20,0.62,36,2.54,55.34,9,33.15,4.51,1.04,0.35,10.11,1.04,13.68,78.02,2.56,61.54,12.6,81.6,0.47,36.84,14.42,0.15,0.79,0.27,0.57,1.01,65.85,0.91,56.76,0.32,38.46,1.06,1.13,73.91,0,0,,,
L. Bailey,Aston Villa,"RW, RAMF",27,2027-06-30,2355,Jamaica,left,178,3.29,3.36,43.18,1.64,46.51,0.18,0.04,1.72,2.64,5.35,0.38,0.23,1.8,40.43,21.277,2.79,34.25,6.19,53.09,11.27,39.32,4.78,2.98,1.15,20.9,0.96,27.9,76.99,5.43,68.31,23.35,83.47,1.87,59.18,17.67,0.35,1.8,0.8,1.22,2.41,60.32,3.32,62.07,1.03,44.44,2.14,4.78,80.8,0,0,,,
Pau Torres,Aston Villa,LCB,27,2028-06-30,2828,Spain,left,191,6.11,4.39,62.32,1.75,49.09,0.22,0.35,3.21,4.48,1.15,0.06,0.03,0.35,45.45,18.182,0.22,42.86,0.99,77.42,1.88,61.02,0.54,1.88,0.29,39.18,0.32,51.97,89.22,18.78,79.32,45.29,93.96,6.52,57.56,20.57,0.02,0.1,0.22,0.03,6.81,78.97,0.92,44.83,0.67,14.29,0.35,8.75,70.18,0,0,,,
B. Kamara,Aston Villa,"RCMF, RDMF",24,2027-06-30,1829,"France, Senegal",right,184,8.76,8.37,59.41,2.8,40.35,0.77,0.2,3.25,4.64,1.57,0,0.01,0.2,25,0,0.1,50,2.41,57.14,5.61,50.88,0.69,0.98,0.34,35.48,1.48,48.03,90.16,12.99,79.17,44.98,92.01,2.95,63.33,15.68,0.06,0.54,0.44,0.3,6.54,79.7,1.48,50,1.03,33.33,0.69,4.92,77,0,0,,,
E. Konsa,Aston Villa,"RB, RCB",27,2028-06-30,3498,"England, Congo DR",right,183,6.38,3.89,62.91,1.6,61.29,0.3,0.49,3.73,5.36,1.34,0.03,0.05,0.44,29.41,5.882,0.57,31.82,1.13,81.82,4.01,61.54,0.67,0.8,0.15,37.62,1.67,47.78,92.95,16.23,87.32,45.18,95.27,2.03,58.23,17.63,0.02,0.15,0.13,0.05,4.19,88.34,0.75,55.17,0.31,58.33,0.21,5.17,73.63,0,0,,,
M. Diaby,Aston Villa,"CF, AMF",25,2029-06-30,2446,"France, Mali",left,170,2.91,3.61,48.98,0.77,4.76,0.11,0.04,1.07,1.56,3.75,0.22,0.24,1.91,44.23,11.538,2.58,32.86,3.72,49.5,7.91,32.56,4.19,2.54,1.25,16.52,0.52,21.56,80.89,3.94,74.77,18.62,87.94,0.44,58.33,15.93,0.22,1.25,0.33,1.18,0.88,79.17,2.91,62.03,0.33,55.56,1.8,2.47,85.07,0,0,,,
M. Cash,Aston Villa,"RB, RW",27,2027-06-30,2461,"England, Poland",right,185,8.74,7.5,54.15,1.39,50,0.52,0.59,4.32,6.17,2.38,0.07,0.16,1.13,35.48,6.452,1.94,32.08,2.19,58.33,4.43,47.11,1.79,1.65,0.73,28.42,0.8,38.07,84.53,13.42,76.29,32.55,92.13,3.58,43.88,18.75,0.08,0.48,0.18,0.26,4.17,74.56,1.76,52.08,0.48,38.46,0.48,5.96,66.87,0,0,,,
Douglas Luiz,Aston Villa,"LCMF, LDMF",26,2029-06-30,3401,Brazil,right,175,6.22,5.56,57.62,1.4,41.51,0.15,0.19,2.91,4.18,2.17,0.24,0.22,1.22,39.13,19.565,0.9,44.12,1.64,61.29,5.69,46.51,0.82,1.38,0.45,34.48,1.08,46.89,90.18,10.19,75.84,42.74,93.56,3.31,58.4,18.1,0.1,0.98,0.5,0.37,5.69,77.67,1.98,56,1.11,47.62,0.82,5.37,76.35,0,0,,,
J. Ramsey,Aston Villa,"LW, LAMF",23,2027-06-30,994,England,right,180,5.16,4.26,68.09,1,63.64,0.3,0.18,2.08,3.48,3.17,0.09,0.21,1.63,22.22,5.556,1.45,12.5,3.98,59.09,8.06,39.33,4.07,2.72,0.91,21.64,1.09,27.25,84.05,5.79,71.88,25.53,88.3,0.27,66.67,16.07,0.11,1,0.72,0.54,2.44,85.19,1.18,46.15,0.54,16.67,1,2.81,67.74,0,0,,,
N. Zaniolo,Aston Villa,"LW, LAMF, CF",25,2027-06-30,1003,Italy,left,190,5.47,6.28,45.71,1.79,30,0.28,0,2.42,3.82,4.4,0.18,0.34,2.33,38.46,7.692,1.7,5.26,5.83,58.46,14.63,36.2,4.58,2.15,0.72,14.99,1.88,20.46,69.74,4.67,75,17.59,78.57,1.26,28.57,15.38,0.02,0.54,0.09,0.36,1.88,71.43,1.26,42.86,0.36,25,1.17,2.33,53.85,0,0,,,
P. Billing,Bournemouth,"AMF, LCMF, RCMF",28,2027-06-30,1604,"Denmark, Nigeria",left,193,8.98,6.51,63.79,3.87,55.07,0.5,0.17,4.43,5.68,2.24,0.11,0.17,1.46,30.77,7.692,1.63,44.83,1.8,56.25,5.72,37.25,2.75,1.18,0.5,18.07,0.67,27.55,80.24,7.52,71.64,24.52,83.75,1.4,60,16.03,0.13,0.67,0.06,0.34,3.14,73.21,2.3,60.98,0.34,50,1.23,4.1,73.97,0,0,,,
M. Aarons,Bournemouth,RB,24,,1398,"England, Jamaica",right,171,7.34,7.73,55.83,1.09,23.53,0.53,0.26,2.58,3.05,2.12,0,0,0.13,0,0,0.97,33.33,2.51,58.97,5.73,55.06,0.52,1.61,0.52,19.83,1.67,28.52,79.23,10.94,68.24,24.14,85.33,3.48,48.15,18.51,0.07,0.52,0.45,0.26,3.41,56.6,1.8,57.14,0.84,53.85,0.9,5.47,61.18,0,0,,,
A. Scott,Bournemouth,"AMF, RDMF, RCMF",21,2025-06-30,1170,"Guernsey, England",right,178,7.69,7,54.95,3.23,45.24,0.51,0.31,3.46,4.55,2.69,0.08,0.07,1.08,28.57,7.143,1.31,35.29,3.08,62.5,6.46,58.33,2.15,2.54,0.46,19.54,1.92,32.08,82.97,9,68.38,28.62,87.63,2.23,48.28,17.14,0.18,1.54,0.23,0.31,3.54,60.87,2.46,59.38,0.31,0,1.31,4.85,71.43,0,0,,,
Dango Ouattara,Bournemouth,"LB, LAMF, RAMF",22,2026-06-30,1450,Burkina Faso,left,177,9,6.08,70.41,4.72,46.05,0.33,0,4.47,6.02,3.97,0.06,0.2,1.68,29.63,3.704,2.79,31.11,4.53,56.16,8.13,47.33,3.29,2.36,1.06,17.94,1.06,27.93,70.44,7.94,64.06,23.09,77.15,2.11,50,16.1,0.04,0.62,0.25,0.31,2.67,58.14,2.11,32.35,0.37,0,0.81,5.83,64.89,0,0,,,
M. Kerkez,Bournemouth,LB,20,2026-06-30,2194,"Serbia, Hungary",left,176,9.64,6.77,58.79,2.3,48.21,1.81,0.49,4.14,4.95,2.09,0,0.07,0.66,31.25,0,2.75,38.81,1.44,57.14,3.81,43.01,1.35,1.8,0.9,18.62,0.74,27.57,78.72,9.48,72.29,22.32,86.58,2.58,52.38,19.32,0.05,0.37,0.08,0.29,2.54,62.9,1.89,43.48,0.21,40,0.12,5.41,66.67,0,0,,,
I. Zabarnyi,Bournemouth,RCB,22,2029-06-30,3791,Ukraine,right,189,9.19,6.22,66.03,3.58,44.37,0.39,0.76,4.77,6.07,0.26,0.02,0.04,0.19,25,12.5,0.05,50,0.21,88.89,1.04,59.09,0.26,0.66,0.12,26.16,0.52,39.36,87.64,14.05,73.65,32.48,93.27,6.84,61.11,22.82,0.01,0.07,0,0.02,5.79,68.44,0.55,52.17,0.45,31.58,0.19,6.69,72.7,0,0,,,
A. Semenyo,Bournemouth,"RAMF, RW, LAMF",24,2029-06-30,2366,"England, Ghana",right,185,5.1,4.91,46.51,5.78,35.53,0,0.08,2.81,3.74,5.9,0.3,0.23,2.74,45.83,11.111,2.09,30.91,6.77,57.3,13.16,41.04,4.07,3.84,0.91,16.39,1.03,22.1,76.94,4.91,62.79,19.13,83.1,0.99,53.85,17.73,0.14,0.84,0.38,0.65,1.45,52.63,2.13,58.93,0.38,40,1.03,3.16,71.08,0,0,,,
A. Smith,Bournemouth,RB,33,2026-06-30,2418,England,right,180,9.38,7.11,63.87,1.82,42.86,0.54,0.41,4.43,5.8,1.15,0,0,0.07,0,0,1.53,51.22,0.6,56.25,1.94,46.15,0.45,0.48,0.19,19.73,0.82,28.92,82.24,12.88,72.83,23.49,90.81,4.02,41.67,18.67,0.05,0.45,0.04,0.26,4.39,66.1,1.64,61.36,0.63,41.18,0.3,6.14,70.3,0,0,,,
