Player,Team within selected timeframe,Position,Age,Contract expires,Minutes played,Passport country,Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Successful attacking actions per 90,Goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %",,
L. Banda,Lecce,"LW, LAMF",24,2026-06-30,623,Zambia,right,169,5.92,6.21,58.14,2.02,21.43,0.88,0,1.59,1.94,6.36,0,0.11,2.17,26.67,0,2.74,52.63,7.51,57.69,14.45,44,2.02,3.76,1.01,14.74,2.6,21.38,80.41,4.19,62.07,17.91,87.1,1.16,25,16.63,0.14,1.73,0.29,0.29,1.16,37.5,2.89,45,0.29,0,0.43,2.74,84.21,,
C. Niasse,Hellas Verona,"RCMF, LCMF",25,2026-06-30,624,"France, Senegal",right,188,8.94,4.47,51.61,5.91,36.59,1.36,0.43,5.34,5.58,0.58,0,0.03,0.43,33.33,0,0.14,0,0.87,50,3.75,34.62,0.72,0.29,0,15.43,1.3,26.39,81.97,6.63,73.91,23.8,84.85,2.45,58.82,17.47,0,0.14,0,0,2.6,83.33,0.58,25,0,0,0.14,4.33,43.33,,
D. Zapata,Torino,CF,33,2026-06-30,633,Colombia,right,189,3.55,2.99,52.38,7.11,38,0.19,0.14,1.85,2.47,3.27,0.43,0.45,2.7,47.37,15.789,0.71,100,2.27,56.25,8.96,30.16,4.55,0.43,0,12.09,1.14,15.5,71.56,2.99,47.62,14.22,71,0.57,50,15.19,0.09,0.85,0,0.57,1.99,42.86,0.85,50,0,0,0.71,1.56,45.45,,
Danilo,Juventus,"RB, LCB, RCB",33,2025-06-30,637,Brazil,right,184,6.5,3.53,52,3.67,57.69,0.21,0.28,4.52,6.81,0.71,0,0.01,0.14,0,0,0.71,80,0.14,100,0.57,25,0.28,2.12,0.28,63.16,0.14,75.87,91.81,27.27,83.42,69.8,94.94,5.37,52.63,19.76,0.05,0.28,0.14,0.14,11.3,76.25,1.41,50,0.42,0,0.57,12.15,83.72,,
J. Akpa Akpro,Monza,"LCMF, RCMF",32,2025-06-30,643,"France, Côte d'Ivoire",right,180,9.66,8.82,52.38,3.22,21.74,1.52,0.28,3.78,4.55,1.12,0,0,0,0,0,0.84,0,2.8,40,8.68,38.71,0.56,1.4,0.28,19.18,1.26,28.69,83.41,8.82,76.19,25.61,87.98,2.24,62.5,16.29,0,0.14,0.14,0,1.96,64.29,0.98,14.29,0.14,0,0.28,4.62,63.64,,
S. Giménez,Milan,CF,24,2027-06-30,647,"Italy, Mexico",left,182,3.06,2.64,47.37,2.5,22.22,0.21,0.14,1.67,2.57,2.23,0.42,0.58,2.78,40,15,0.28,50,2.36,35.29,6.68,25,3.34,1.39,0.28,9.74,0.56,11.55,81.93,1.53,81.82,11.13,83.75,0.14,0,14.58,0.04,0.28,0.14,0.14,0.83,66.67,0.42,66.67,0.14,100,0.42,1.39,60,,
S. Gigot,Lazio,"RCB, LCB",31,2025-06-30,652,France,right,187,7.59,3.31,75,3.04,68.18,1.12,0.55,4.28,5.78,0.69,0.28,0.13,0.55,100,50,0.14,0,0.14,100,0.97,57.14,1.1,0.83,0,24.57,1.1,33.13,90.83,9.8,77.46,31.61,93.45,1.38,40,14.86,0,0,0,0,2.21,56.25,0.14,100,0,0,0.14,2.48,66.67,,
A. Belotti,Como,CF,31,2026-06-30,670,Italy,right,181,4.43,4.3,62.5,6.45,41.67,0.38,0.13,1.48,2.12,2.01,0.27,0.34,2.28,17.65,11.765,0.94,0,2.01,73.33,8.33,38.71,4.3,0.81,0,9.94,2.55,14.37,78.5,2.96,77.27,13.16,85.71,0.27,0,13.09,0.03,0.54,0.13,0,1.21,88.89,0.94,28.57,0.27,50,0.4,1.88,57.14,,
M. Berisha,Lecce,"LDMF, AMF, DMF",21,2028-06-30,671,"Switzerland, Albania",right,186,6.97,5.77,58.14,2.15,43.75,1.48,0.13,2.55,3.52,2.28,0,0.09,2.95,22.73,0,0.94,42.86,1.74,69.23,3.89,62.07,0.94,2.15,0,30.85,1.34,40.24,84,11.54,74.42,33.67,88.84,5.63,61.9,19.62,0.07,0.67,0.13,0.27,7.11,71.7,1.34,70,0.67,60,0.54,6.17,76.09,,
Patric,Lazio,"RCB, LCB",31,2027-06-30,674,Spain,right,184,7.34,7.21,66.67,2.54,57.89,0,0.13,2.54,3.35,0.4,0.13,0.11,0.27,50,50,0.27,50,0,0,0.4,66.67,0.53,0.4,0,38.32,0.67,51.94,91,17.76,78.2,45.27,96.76,6.54,53.06,21.55,0,0,0.27,0,7.48,67.86,0.67,40,0.8,16.67,0.13,8.01,76.67,,
