Team,Goals,xG,Total shots,Shots on target,SOT %,Total passes,Accurate passes,Pass accuracy %,Possession,Total losses,Low losses,Med Losses,High losses,Total recoveries,Low recoveries,Med recoveries,High recoveries,Total duels,Duels won,Duels success %,Total shots outside box,SOT outside box,SOT outside box %,Total positional attacks,Positional attacks leading to shot,Positional attacks leading to shot %,Total counterattacks,Counterattacks leading to shot,Counterattacks leading to shot %,Total set pieces,Total set pieces with shots,Set piece shot %,Total corners,Total corners with shots,Corner shot %,Total free kicks,Total free kicks with shots,Free kick shot %,Total penalties,Penalties scored,Penalty conversion %,Total crosses,Successful crosses,Cross accuracy %,Deep completed crosses,Deep completed passes,Total box entries,Box entry via run,Box entry via cross,Penalty area touches,Total offensive duels,Offensive duels won,Offensive duels success %,Offsides,Conceded goals,Total shots against,SOT against,SOT against %,Total Def duels,Successful def duels,Def duel success %,Total aerial duels,Successful aerial duels,Aerial duel success %,Total sliding tackles,Successful sliding tackles,Sliding tackle success %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Total forward passes,Successful forward passes,Forward pass success %,Total back passes,Successful back passes,Back pass success %,Total lateral passes,Successful lateral passes,Lateral pass success %,Total long passes,Successful long passes,Long pass success %,Total final third passes,Successful final third passes,Final third pass success %,Total progressive passes,Successful progressive passes,Progressive pass success %,Total smart passes,Successful smart passes,Smart pass success %,Total throws in,Accurate throw ins,Throw in success %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Oppo Goals,Oppo xG,Oppo Total shots,Oppo Shots on target,Oppo SOT %,Oppo Total passes,Oppo Accurate passes,Oppo Pass accuracy %,Oppo Possession,Oppo Total losses,Oppo Low losses,Oppo Med Losses,Oppo High losses,Oppo Total recoveries,Oppo Low recoveries,Oppo Med recoveries,Oppo High recoveries,Oppo Total duels,Oppo Duels won,Oppo Duels success %,Oppo Total shots outside box,Oppo SOT outside box,Oppo SOT outside box %,Oppo Total positional attacks,Oppo Positional attacks leading to shot,Oppo Positional attacks leading to shot %,Oppo Total counterattacks,Oppo Counterattacks leading to shot,Oppo Counterattacks leading to shot %,Oppo Total set pieces,Oppo Total set pieces with shots,Oppo Set piece shot %,Oppo Total corners,Oppo Total corners with shots,Oppo Corner shot %,Oppo Total free kicks,Oppo Total free kicks with shots,Oppo Free kick shot %,Oppo Total penalties,Oppo Penalties scored,Oppo Penalty conversion %,Oppo Total crosses,Oppo Successful crosses,Oppo Cross accuracy %,Oppo Deep completed crosses,Oppo Deep completed passes,Oppo Total box entries,Oppo Box entry via run,Oppo Box entry via cross,Oppo Penalty area touches,Oppo Total offensive duels,Oppo Offensive duels won,Oppo Offensive duels success %,Oppo Offsides,Oppo Conceded goals,Oppo Total shots against,Oppo SOT against,Oppo SOT against %,Oppo Total Def duels,Oppo Successful def duels,Oppo Def duel success %,Oppo Total aerial duels,Oppo Successful aerial duels,Oppo Aerial duel success %,Oppo Total sliding tackles,Oppo Successful sliding tackles,Oppo Sliding tackle success %,Oppo Interceptions,Oppo Clearances,Oppo Fouls,Oppo Yellow cards,Oppo Red cards,Oppo Total forward passes,Oppo Successful forward passes,Oppo Forward pass success %,Oppo Total back passes,Oppo Successful back passes,Oppo Back pass success %,Oppo Total lateral passes,Oppo Successful lateral passes,Oppo Lateral pass success %,Oppo Total long passes,Oppo Successful long passes,Oppo Long pass success %,Oppo Total final third passes,Oppo Successful final third passes,Oppo Final third pass success %,Oppo Total progressive passes,Oppo Successful progressive passes,Oppo Progressive pass success %,Oppo Total smart passes,Oppo Successful smart passes,Oppo Smart pass success %,Oppo Total throws in,Oppo Accurate throw ins,Oppo Throw in success %,Oppo Goal kicks,Oppo Match tempo,Oppo Average passes per possession,Oppo Long pass %,Oppo Average shot distance,Oppo Average pass length,Oppo PPDA
Arsenal,1.83,1.9,13,4.52,34.75,474.59,416.24,87.71,55.43,91.66,15.24,26.21,50.21,73.41,27.17,29.45,16.79,189.21,89.34,47.22,3.86,0.93,24.11,32.9,7.93,24.11,0.86,0.55,64,22.76,4.31,18.94,6.52,2.24,34.39,2.21,0.48,21.88,0.07,0.07,100,16.55,5.38,32.5,5.21,11.97,31.55,6.83,8.38,29.17,71.41,26.72,37.42,2.21,0.83,9.17,3.34,36.47,55.97,34.59,61.8,30.9,14.93,48.33,2,0.86,43.1,31.34,11.55,11.34,1.97,0.17,144.83,116.14,80.19,74.79,71.38,95.44,176.31,161.21,91.43,33.03,19.55,59.19,54.69,43.28,79.13,59.93,48.17,80.38,2.38,1.14,47.83,16.45,14.07,85.53,5.31,16.03,5.27,7.65,15.54,18.16,9.46,0.83,0.95,9.17,3.17,34.59,369.66,311.97,84.39,44.57,93,24.66,33.9,34.45,67.59,37.1,21.34,9.14,189.21,92.03,48.64,3.86,0.79,20.54,20.62,5.93,28.76,0.83,0.41,50,22.97,2.45,10.66,2.83,0.72,25.61,2.28,0.55,24.24,0.07,0.07,100,11.48,3.97,34.53,3.62,4.76,18.03,4.14,6.66,13.28,55.97,21.38,38.2,1.1,1.83,13,4.72,36.34,71.41,44.69,62.58,30.9,13.66,44.2,3.55,1.79,50.49,37.17,17.45,10.93,2.31,0.03,123.69,90.28,72.99,58.24,55.66,95.56,129.55,116.62,90.02,40.83,22.69,55.57,38.17,27.69,72.54,59.07,38.14,64.57,1.07,0.28,25.81,13.72,12.41,90.45,8.1,15.66,4.33,11.76,18.83,19.1,15.89
Aston Villa,1.41,1.53,11.59,3.93,33.93,425.41,367.76,86.45,51.62,92.41,21.41,30,41,69.76,32.66,24.83,12.28,189.45,90.03,47.52,4,0.93,23.28,25.79,6.83,26.47,1.07,0.41,38.71,28.62,3.86,13.49,6.45,1.97,30.48,2.41,0.66,27.14,0.1,0.07,66.67,13.28,3.79,28.57,3.59,9.21,23.59,5.55,6.41,20.97,73.59,30.17,41,1.62,1.55,11.07,4.28,38.63,63.34,37.45,59.12,27.1,12.31,45.42,2.9,1.59,54.76,33.55,13.21,11.38,1.97,0.07,127.83,98.21,76.83,66.72,63.45,95.09,159.41,146.31,91.78,31.03,17.9,57.67,44.97,34.34,76.38,58.21,40.69,69.91,1.86,0.55,29.63,13.52,11.69,86.48,7.34,15.84,4.69,7.74,16.78,18.26,12.19,1.55,1.63,11.07,4.24,38.32,408.24,350.83,85.94,48.38,92.38,19.41,29.24,43.72,70.93,31.62,26.07,13.24,189.45,93.69,49.45,4.07,1.24,30.51,24.55,6.86,27.95,1.45,0.79,54.76,23,3.07,13.34,4.38,1.1,25.2,2.31,0.55,23.88,0.07,0.03,50,14.59,4.72,32.39,4.62,6.83,24.21,5,8.72,19.21,63.34,25.9,40.88,2.66,1.41,11.59,4.07,35.12,73.59,43.41,59,27.1,12.93,47.71,3.52,1.55,44.12,39.07,15.03,13.17,2.66,0.07,126.69,96.86,76.46,64.55,61.03,94.55,148.21,134.21,90.55,37.17,21.69,58.35,48.9,36.03,73.7,58.41,42.24,72.31,1.72,0.79,46,12.41,10.79,86.94,6.76,16.17,4.71,9.8,17.08,18.59,10.85
Bournemouth,1.66,1.92,15.31,5.59,36.49,379.83,308.48,81.22,48.15,111.48,19.79,38.86,52.83,88.48,36.83,35.9,15.76,221.9,107.9,48.62,5.48,1.52,27.67,31.72,10.1,31.85,1.34,0.66,48.72,23.24,4.03,17.36,6.14,2.07,33.71,2.41,0.41,17.14,0.24,0.21,85.71,17.93,5.83,32.5,5.55,9.38,27.72,5.83,9.48,23.86,68,26.38,38.79,1.9,1.24,12.14,4.97,40.91,80.97,49.9,61.63,39.55,17.1,43.24,4.1,2.21,53.78,41.59,17.52,13.48,2.55,0.03,137.59,98.76,71.78,61.03,58.28,95.48,122.48,106,86.54,50.03,28.69,57.34,54.66,37.86,69.27,73.24,54.52,74.44,1.76,0.83,47.06,17.79,15.21,85.47,7.48,15.94,3.64,13.37,17.24,20.18,9.23,1.24,1.44,12.14,4.83,39.77,422.17,349.41,82.77,51.85,120.45,25.38,45.72,49.34,86.38,39.97,34.1,12.31,221.9,105.66,47.61,4.76,1.41,29.71,28.38,7.41,26.12,0.69,0.38,55,28,3.86,13.79,5.03,1.52,30.14,2.45,0.83,33.8,0.14,0.14,100,13.55,4.48,33.08,4.41,10.21,24.48,5.07,7.17,20.93,80.97,31.07,38.37,0.93,1.66,15.31,5.76,37.61,68,41.62,61.21,39.55,19.1,48.3,3.52,1.55,44.12,42.97,19.03,10.45,2.48,0.07,148.31,107.79,72.68,68.59,64.07,93.41,130.93,116.55,89.02,43.48,23.38,53.77,47,31.31,66.62,69.07,47.69,69.05,2.03,0.66,32.2,21.55,18.9,87.68,9.21,16.36,3.95,10.7,17.35,18.5,9.7
Brentford,1.72,1.5,10.86,4.69,43.17,408.52,337.28,82.56,48.55,109.55,24.83,34.55,50.17,81.45,35.86,30.72,14.86,189.21,93.45,49.39,3.24,1,30.85,26.41,6.62,25.07,1.48,0.76,51.16,22.52,3,13.32,4.48,1.17,26.15,2.41,0.45,18.57,0.14,0.14,100,16.41,5.52,33.61,5.34,8.24,27.34,5.52,9.79,21.17,57.03,21.48,37.67,1.93,1.55,16.52,5.83,35.28,65.93,41.03,62.24,38.07,18.72,49.18,2.14,0.97,45.16,41.31,18.55,7.69,1.38,0.03,145.9,106.97,73.32,67.45,63.93,94.79,135.55,119.31,88.02,43.24,24.24,56.06,48.31,33.17,68.67,67.1,46.45,69.22,1.55,0.79,51.11,15.34,13.59,88.54,8.86,16.13,4.27,10.92,16.84,19.31,12.53,1.55,1.91,16.52,5.59,33.82,451.07,383.41,85,51.45,106.59,22.48,35.21,48.9,84.38,37.24,30.62,16.52,189.21,88.93,47,6.34,1.38,21.74,32.48,11.07,34.08,0.9,0.48,53.85,21.9,4.59,20.94,6.59,2.07,31.41,1.52,0.34,22.73,0.03,0.03,100,20.72,6.9,33.28,6.52,13.34,34.45,7.28,11.07,29.34,65.93,24.9,37.76,1.52,1.72,10.86,5,46.03,57.03,35.55,62.33,38.07,16.66,43.75,2.72,1.45,53.16,39.07,18.17,9.14,2,0.07,151.76,116.69,76.89,72.07,69.07,95.84,155.1,137.93,88.93,44.93,26.38,58.71,54.31,41.86,77.08,76.28,56.9,74.59,2.38,1.03,43.48,16.03,14.28,89.03,6.69,16.76,4.66,10.33,17.8,18.81,12.41
Brighton,1.66,1.69,12.83,4.69,36.56,447.24,382.62,85.55,52.93,103.07,18.34,34.14,50.59,81.79,32.45,34.28,15.07,198.34,94.38,47.58,4.9,1.45,29.58,28.76,8,27.82,0.72,0.34,47.62,25.14,3.66,14.54,4.93,1.1,22.38,2.45,0.86,35.21,0.1,0.1,100,15.48,5.28,34.08,5.07,9.34,26.72,6.66,8.52,23.45,70.17,26.14,37.25,1.24,1.45,10.14,3.76,37.07,64.9,39.9,61.48,32.83,15.79,48.11,4.55,2.48,54.55,39.14,13.83,11.59,2.14,0.03,145.55,112.03,76.97,72.86,69.24,95.03,158.45,143.03,90.27,39.03,22.07,56.54,50.79,37.03,72.91,66.93,50.62,75.63,2.31,1.07,46.27,15.66,13.45,85.9,6.52,15.89,4.62,9.09,17.17,18.84,9.89,1.45,1.45,10.14,3.62,35.71,417.72,350.79,83.98,47.07,103.9,22.59,39.62,41.69,79,38.62,28.83,11.55,198.34,95.69,48.24,2.66,0.59,22.08,22.03,6.07,27.54,1.21,0.52,42.86,24.34,3.21,13.17,5.28,1.14,21.57,1.72,0.52,30,0.24,0.24,100,12.24,3.93,32.11,4.21,6.79,23.76,6.41,6.34,19.45,64.9,25,38.52,2.62,1.66,12.83,4.86,37.9,70.17,44.03,62.75,32.83,13.93,42.44,4.55,2.79,61.36,40.21,15.14,11.62,2.38,0.1,141.24,103.93,73.58,63.38,59.62,94.07,148.79,134.31,90.27,44.48,23.34,52.48,44.52,29.76,66.85,64.72,42.45,65.58,1.72,0.72,42,16,14.86,92.89,7.93,16.52,4.36,11.55,16.37,19.31,12.27
Chelsea,1.83,2,14.66,5.48,37.41,523.34,457.69,87.45,57.54,96.79,17.07,32.48,47.24,76.41,32.41,29.52,14.48,180,87.62,48.68,5.28,1.59,30.07,29.45,8.83,29.98,1.66,1.17,70.83,25.48,3.9,15.29,5.97,1.31,21.97,1.93,0.48,25,0.14,0.1,75,15.48,5.03,32.52,4.55,11.31,28.45,8.07,8.24,25.79,66.72,28.76,43.1,1.62,1.28,10.24,4.62,45.12,59.76,35.28,59.03,24.79,11.48,46.31,2.62,1.34,51.32,34.34,10.72,11.52,2.76,0.03,161.69,125.62,77.69,83.69,79.31,94.77,198.31,183.55,92.56,39.52,20.55,52.01,61.45,46.55,75.76,72.03,52.9,73.43,2.34,0.86,36.76,15.59,14.07,90.27,5.66,17.32,5.59,7.85,17.43,18.85,11.42,1.28,1.47,10.24,4.48,43.77,371.97,310.31,83.42,42.46,93.59,21.97,31.38,40.24,69.45,35.07,24.24,10.14,180,85.14,47.3,3.69,1.24,33.64,23.69,5.93,25.04,0.9,0.48,53.85,23.21,3.07,13.22,3.55,1.1,31.07,2.41,0.55,22.86,0.21,0.17,83.33,11.86,3.31,27.91,3.38,5.76,19.62,4.45,6,16.83,59.76,24.48,40.97,2.17,1.83,14.66,5.69,38.82,66.72,37.97,56.9,24.79,11.07,44.65,3.17,1.86,58.7,38.93,15.72,12.14,2.55,0.07,131.34,97.28,74.06,60.72,56.86,93.64,121.9,109.21,89.59,39,21.48,55.08,41.48,28.86,69.58,61.31,41.66,67.94,1.69,0.62,36.73,14.93,13.66,91.45,8.31,16.54,4.1,11.17,16.92,19.26,15.38
Crystal Palace,1.29,1.6,12.68,4.75,37.46,376.71,301.89,80.14,43.61,114.89,23.82,43.07,48,87,40.18,34.14,12.68,203.86,100.5,49.3,5.04,1.21,24.11,25.04,7.71,30.81,1.14,0.5,43.75,24.11,3.82,15.85,4.79,1.71,35.82,2.61,0.64,24.66,0.07,0.07,100,13.82,4.68,33.85,4.75,7.25,22.68,3.57,7.82,18.57,57.82,23.43,40.52,1.82,1.18,11.29,4.04,35.76,73.96,46.89,63.4,39.61,17.07,43.1,5.18,2.71,52.41,46.43,20.64,10.75,2.07,0.04,136.18,92.07,67.61,54.18,50.29,92.81,132.14,116.21,87.95,48.25,24.96,51.74,48.29,30.86,63.91,72.14,48.79,67.62,2.25,0.75,33.33,16,14.18,88.62,8.11,16.85,3.86,13.21,17.71,19.76,12.26,1.18,1.41,11.29,3.86,34.18,486.5,411.07,84.5,56.39,116.93,20.86,40,56.07,86.93,35.93,35.79,15.21,203.86,93.61,45.92,4.36,0.93,21.31,30.93,6.82,22.06,0.86,0.71,83.33,24.5,3.46,14.14,5.96,1.93,32.34,2.21,0.43,19.35,0.07,0.04,50,15.18,4.96,32.71,4.64,8.71,25.21,4.93,8.39,20.68,73.93,27.04,36.57,1.14,1.29,12.68,4.86,38.31,57.86,34.39,59.44,39.61,18.89,47.7,2.46,1.21,49.28,42.46,13.71,11.36,1.96,0.07,157.75,117.18,74.28,76.32,72,94.34,179,162.21,90.62,44.43,25,56.27,56.54,39.54,69.93,72.46,53.04,73.19,1.96,0.89,45.45,19.04,16.82,88.37,7.04,16.68,4.91,9.64,16.87,19.04,9.24
Everton,1.1,1.2,9.83,3.66,37.19,347.21,281.21,80.99,42.34,105.45,20.9,34.76,49.79,78.69,36.52,29.9,12.28,206.38,98.76,47.85,3.41,0.93,27.27,27.03,6.24,23.09,0.93,0.45,48.15,21.72,2.76,12.7,4.17,1.1,26.45,2.86,0.52,18.07,0.03,0.03,100,15.28,5.41,35.44,5.21,6.41,21.62,3.38,9.03,15.76,64.69,23.52,36.35,2.21,1.24,11.62,4.1,35.31,69.86,44,62.98,38.86,17.79,45.79,4.41,2.31,52.34,41.21,17.79,11.62,2.03,0.07,129.48,92,71.05,57.17,53.28,93.18,111.55,97.48,87.39,44.34,25.17,56.77,47.97,32.31,67.36,66.55,47.03,70.67,1.38,0.69,50,18.62,16.76,90,7.48,15.67,3.6,13.36,17.19,20.55,14.58,1.24,1.34,11.62,3.9,33.53,510.79,440.59,86.26,57.66,110,21.38,37.69,50.93,83.38,40.28,30.17,12.93,206.38,97.9,47.44,4.38,0.93,21.26,29.1,7.21,24.76,0.93,0.48,51.85,25.14,3.48,13.85,5.83,1.83,31.36,2.31,0.45,19.4,0.07,0,0,15.72,4.79,30.48,4.62,9.03,26.9,4.79,8.59,20.41,69.86,25.86,37.02,1.41,1.1,9.83,3.79,38.6,64.69,41.17,63.65,38.86,17.24,44.37,3.07,1.38,44.94,35.45,16.1,10.14,1.21,0.03,161.07,122.93,76.32,79.69,75.66,94.94,193.72,177.83,91.79,42.93,22.83,53.17,60.1,43.17,71.83,71.48,53.28,74.53,2.07,0.97,46.67,18.9,16.86,89.23,6.59,16.79,5.2,8.87,17.33,18.86,10.44
Fulham,1.48,1.55,12.86,4.48,34.85,479.86,410.93,85.64,52.33,104.62,20.9,36.52,47.21,79.9,35.59,30.21,14.1,191.52,93.52,48.83,4.03,0.83,20.51,29.24,7.69,26.3,1.9,0.79,41.82,24.07,3.97,16.48,5.38,1.79,33.33,1.9,0.38,20,0.14,0.1,75,19.03,6.83,35.87,6.28,8.21,28.72,5.28,11.79,22.69,63.52,26.28,41.37,1.1,1.31,10.21,4.07,39.86,64.72,39.86,61.59,33.45,14.9,44.54,3.34,1.72,51.55,36.45,14.72,11.31,2.07,0.07,155.28,120.17,77.39,76.59,73.24,95.63,171.93,154.38,89.79,45.17,26.52,58.7,52.38,39.38,75.18,73.83,54.07,73.24,2,0.9,44.83,17.45,16,91.7,6.97,17.2,5.02,9.82,16.69,19.01,13.41,1.31,1.22,10.21,3.9,38.18,424.31,361.03,85.09,47.67,104.14,22.31,34.52,47.31,78,34.07,31.03,12.9,191.52,90.1,47.05,3.62,1,27.62,26,5.52,21.22,0.83,0.52,62.5,23.41,3.59,15.32,4.55,1.28,28.03,2.72,0.9,32.91,0.07,0.07,100,13.14,4.14,31.5,3.9,7.1,22.38,4,7.9,17.1,64.72,24.86,38.41,2.38,1.48,12.86,4.55,35.39,63.52,37.24,58.63,33.45,15.31,45.77,3.62,1.79,49.52,44.69,16.93,10.17,1.86,0.1,137.97,103,74.66,67.79,64.52,95.17,151.66,136.21,89.81,40.31,22,54.58,51.14,36.31,71,62.17,44.31,71.27,1.83,0.66,35.85,16.21,14.59,90,7.93,16.68,4.5,9.99,17.33,18.91,12.06
Ipswich,0.97,1.05,9.14,3.48,38.11,350.38,291.52,83.2,41.67,99.83,25.41,34.28,40.14,74.9,37.9,26.03,10.97,198.41,94.14,47.45,3.93,1.14,28.95,20.93,5.03,24.05,0.62,0.41,66.67,22.03,3.28,14.87,4.03,1.31,32.48,1.97,0.66,33.33,0.07,0.07,100,10.83,3.21,29.62,3.07,4.1,16.24,4.07,5.79,13.72,65.72,24.52,37.3,1.41,2.14,13.83,5.66,40.9,69.93,41.79,59.76,33.62,16.14,48,3.24,1.59,48.94,40.28,18.97,11.31,2.48,0.1,117.66,85.28,72.48,55.83,52.48,94.01,123.21,109.72,89.06,38.1,20.52,53.85,40.86,27.69,67.76,56.17,37.28,66.36,0.97,0.45,46.43,14.79,11.9,80.42,7.93,16.04,3.86,11.44,18.07,19.21,14.69,2.14,2.06,13.83,5.45,39.4,518.38,453,87.39,58.33,101.38,18.76,31.31,51.31,77.97,30.52,30.55,16.9,198.41,96.38,48.57,4.72,1.07,22.63,31.45,8.93,28.4,1.24,0.59,47.22,23.52,3.66,15.54,6.38,1.86,29.19,2.07,0.31,15,0.17,0.17,100,16.62,5.79,34.85,5.55,10.76,30.31,7.34,9.55,24.62,69.93,28.1,40.19,1.17,0.97,9.14,3.52,38.49,65.72,41.21,62.7,33.62,14.59,43.38,3.38,1.72,51.02,31.38,12.79,10.62,1.66,0.03,153.83,118.76,77.2,77.69,74.55,95.96,203.72,188.07,92.32,42.03,24.03,57.18,59.14,44.34,74.99,67.17,50.03,74.49,2.48,1.24,50,17.41,15.17,87.13,5.45,16.7,5.62,8.89,16.47,18.77,9.72
